Target Community,Video Title,Video URL,Date of Publishing,Number of Views,Number of Likes,Number of Dislikes
LGBT,Kirk Cameron says 'Homosexuality is unnatural',https://www.youtube.com/watch?v=JhGQUKoH_TE,"Mar 2, 2012",1253159,10K,3.7K
LGBT,Steven Anderson: I Pray Caitlyn Jenner Dies Today and Goes to Hell,https://www.youtube.com/watch?v=wlZVyJZGowc,"Jun 11, 2015",67087,450,468
LGBT,From Sodomy To Hell,https://www.youtube.com/watch?v=d9ajfhdzDCM,"Jun 29, 2015",47798,335,101
LGBT,VIDEO: ‘Homophobic’ sermon at Grace Bible Church,https://www.youtube.com/watch?v=ez31LhDt8Nk,"Jan 23, 2017",16310,75,13
LGBT,Imam Tells Gay Muslims He Should Be Killed,https://www.youtube.com/watch?v=ibmaiIGr56w,"Mar 5, 2009",725007,2.4K,1.6K
LGBT,Pastor defends his anti-homosexual sermon,https://www.youtube.com/watch?v=UbSM_kxpObc,"Dec 6, 2014",120550,1.6K,498
LGBT,RWW News: Jeff Mateer: Trans Kids Part Of 'Satan's Plan' Of 'Destruction',https://www.youtube.com/watch?v=wNNDiTprA-4,"Sep 20, 2017",2908,29,6
LGBT,Pastor Steven Anderson on the Orlando shooting, https://www.youtube.com/watch?v=BHZcHTGzJ3U, "Jun 15, 2016", 5.4K, 44, 115
LGBT, Duck Dynasty star: Same sex marriage is evil, https://www.youtube.com/watch?v=L9xzvK8K7vk, "Jan 31, 2016", 61K, 531, 660
LGBT, The American Preacher Spreading Hate , https://www.youtube.com/watch?v=uPRTMscoy-c, "Jul 30, 2018", 39K, 662, 398
LGBT, Kim Burrell Bashes Homosexuals | Implies They Will Die In 2017, https://www.youtube.com/watch?v=fT5gpBaFpaw, "Dec 30, 2016", 1.3M, 3.4K, 11.7K
African-American,Video Captures EXACTLY How Cops Treat Black People,https://www.youtube.com/watch?v=N30tT93FChQ,"Aug 28, 2014",3348191,40K,6.3K
African-American,Dear Black People,https://www.youtube.com/watch?v=G3Rik0FEVe0,"Nov 3, 2015",3242478,Not Available,Not Available
African-American,Hero Prevents Bus Rape And This Is The Thanks He Gets,https://www.youtube.com/watch?v=nudMPAgKhTI,"Nov 1, 2016",3481200,36K,6.4K
African-American,White Teens Murder Black Man In MS,https://www.youtube.com/watch?v=dPbMsZM-eO4,"Aug 8, 2011",735K,2.2K,486
African-American,"Racist Woman Repeatedly Calls Man an N-Word in Front of Kids, Is Confused Why He Is Recording Her",https://www.youtube.com/watch?v=Zyc7NBflLdI,"Jun 4, 2014", 4.7M, 85K, 4.6K
Jews,"Hate speech from Shaykh Anwar Sahib: anti-Semitism, anti-women",https://www.youtube.com/watch?v=-ZsgNWHjuZE,"Nov 17, 2016",6954,11,40
Jews,Ann Coulter Hates Jews?,https://www.youtube.com/watch?v=xBwZly-LL-M,"Oct 12, 2007",45665,186,61
Jews,Farrakhan Continues His Anti-Semitic Saviours' Day Message in Chicago,https://www.youtube.com/watch?v=quMHNp8QwzI,"Mar 5, 2014",23814,,
Jews,Hate speech - Hamas: Jews are sons of monkeys and pigs,https://www.youtube.com/watch?v=WU608Dfl_WY,"Dec 16, 2010",956,0,1
Jews,Louis Farrakhan On the Jews,https://www.youtube.com/watch?v=QgPwZYJQgHo,"Aug 2, 2014",52383,662,100
Jews,"Hamas cleric: ""Destruction of Israel and Jews will bring blessing to world""",https://www.youtube.com/watch?v=iUG-Q2lp20s,"Feb 5, 2009",8422,22,8
Jews,AntiSemitism and Jew Hatred potrayed on Palestinean TV,https://www.youtube.com/watch?v=hUiyOB2H80g,"Aug 8, 2006",23586,82,39
Jews,why does allah curse the jews in Quran,https://www.youtube.com/watch?v=EjwjklQ3Vt8,"Apr 19, 2009",483230,1.8K,674
Jews,Anti-Semitism & Jewish Discrimination | What Would You Do? | WWYD | ABC News,https://www.youtube.com/watch?v=BRX31HOikws,"Nov 5, 2010",1840502,7.4K,1.7K
Jews,Hamas MP - Jews To Be Massacred By Muslims,https://www.youtube.com/watch?v=7sD9wJW-eq8,"May 18, 2011",5781,36,10
Jews,"US Imam preaching theft, rape and murder of Christians and Jews in the US",https://www.youtube.com/watch?v=7mXbp5sTiM0,"Oct 30, 2013",171128,161,377
Jews,Muslims hate Jews because of the koran and love Hitler because he exterminated the jews,https://www.youtube.com/watch?v=4qMs5ASIDv8,"Jun 11, 2010",22083,Not Available,Not Available
Jews, Farrakhan on LeBron James and Jewish Control, https://www.youtube.com/watch?v=CN91x1sHvMc, "Jul 19, 2010", 580K, 3.3K, 365
Jews, Preacher to Jews: We Shall Slaughter You Without Mercy(VIDEO), https://www.youtube.com/watch?v=imeRG4UhKww, "Dec 14, 2014", 37K, 413, 226
Jews,How to Hate a Jew , https://www.youtube.com/watch?v=jyOhrl_lrIA, "Oct 2, 2017", 36.9K, 852, 282
